threshold,precision,recall,f1_score
0.0,0.1340150699677072,1.0,0.23635500711912671
0.010101010101010102,0.13403911717207967,1.0,0.23639240506329115
0.020202020202020204,0.13418358182144782,1.0,0.23661704149509027
0.030303030303030304,0.13542422044960117,1.0,0.2385438288360211
0.04040404040404041,0.1388217803382271,1.0,0.24379895561357703
0.05050505050505051,0.14595545134818289,1.0,0.2547314578005115
0.06060606060606061,0.15556018325697626,1.0,0.2692377004865742
0.07070707070707072,0.16681554265297008,1.0,0.285933014354067
0.08080808080808081,0.1836283185840708,1.0,0.3102803738317757
0.09090909090909091,0.20282378495791475,1.0,0.3372460496613996
0.10101010101010102,0.2268166615992703,0.998661311914324,0.36967294350842417
0.11111111111111112,0.25058784010749074,0.998661311914324,0.4006444683136412
0.12121212121212122,0.27961019490254874,0.998661311914324,0.436896046852123
0.13131313131313133,0.3103161397670549,0.998661311914324,0.4735004760393526
0.14141414141414144,0.3450508788159112,0.998661311914324,0.5128910278446202
0.15151515151515152,0.38146441372247825,0.9973226238286479,0.5518518518518518
0.16161616161616163,0.4134295227524972,0.9973226238286479,0.584542958022754
0.17171717171717174,0.4490657022302592,0.9973226238286479,0.6192851205320032
0.18181818181818182,0.4875491480996068,0.9959839357429718,0.6546414430268367
0.19191919191919193,0.5265392781316348,0.9959839357429718,0.688888888888889
0.20202020202020204,0.562358276643991,0.9959839357429718,0.718840579710145
0.21212121212121213,0.5956765412329864,0.9959839357429718,0.7454909819639278
0.22222222222222224,0.628909551986475,0.9959839357429718,0.7709844559585493
0.23232323232323235,0.6549295774647887,0.9959839357429718,0.7902283590015933
0.24242424242424243,0.6773017319963537,0.9946452476572959,0.8058568329718004
0.25252525252525254,0.7029328287606433,0.9946452476572959,0.8237250554323726
0.26262626262626265,0.7288801571709234,0.9933065595716198,0.8407932011331444
0.27272727272727276,0.7472306143001007,0.9933065595716198,0.8528735632183909
0.2828282828282829,0.7639175257731958,0.9919678714859438,0.8631333721607455
0.29292929292929293,0.7767295597484277,0.9919678714859438,0.871252204585538
0.30303030303030304,0.7933618843683083,0.9919678714859438,0.8816180844735277
0.31313131313131315,0.8178807947019867,0.9919678714859438,0.896551724137931
0.32323232323232326,0.8279329608938547,0.9919678714859438,0.9025578562728379
0.33333333333333337,0.8439635535307517,0.9919678714859438,0.9119999999999999
0.3434343434343435,0.8606271777003485,0.9919678714859438,0.9216417910447761
0.3535353535353536,0.8769230769230769,0.9919678714859438,0.9309045226130653
0.36363636363636365,0.8820023837902264,0.9906291834002677,0.9331651954602773
0.37373737373737376,0.8892900120336944,0.9892904953145917,0.9366286438529785
0.38383838383838387,0.9001218026796589,0.9892904953145917,0.9426020408163264
0.393939393939394,0.9134734239802225,0.9892904953145917,0.9498714652956297
0.4040404040404041,0.9180124223602485,0.9892904953145917,0.9523195876288659
0.4141414141414142,0.9225,0.9879518072289156,0.9541047188106011
0.42424242424242425,0.9283018867924528,0.9879518072289156,0.9571984435797666
0.43434343434343436,0.9365482233502538,0.9879518072289156,0.9615635179153094
0.4444444444444445,0.9401273885350319,0.9879518072289156,0.9634464751958224
0.4545454545454546,0.9460154241645244,0.9852744310575636,0.9652459016393443
0.4646464646464647,0.9496774193548387,0.9852744310575636,0.9671484888304862
0.4747474747474748,0.951948051948052,0.9812583668005355,0.9663810151615029
0.48484848484848486,0.9544270833333334,0.9812583668005355,0.9676567656765678
0.494949494949495,0.9556714471968709,0.9812583668005355,0.9682959048877146
0.5050505050505051,0.9630118890356671,0.9759036144578314,0.9694148936170213
0.5151515151515152,0.9628647214854111,0.9718875502008032,0.9673550966022652
0.5252525252525253,0.9654255319148937,0.9718875502008032,0.9686457638425616
0.5353535353535354,0.9679572763684913,0.9705488621151271,0.9692513368983957
0.5454545454545455,0.9692513368983957,0.9705488621151271,0.9698996655518394
0.5555555555555556,0.9704697986577181,0.9678714859437751,0.9691689008042895
0.5656565656565657,0.9704301075268817,0.9665327978580991,0.9684775318578135
0.5757575757575758,0.9743243243243244,0.965194109772423,0.9697377269670477
0.5858585858585859,0.9769335142469471,0.963855421686747,0.9703504043126684
0.595959595959596,0.9795640326975477,0.9625167336010709,0.9709655638082376
0.6060606060606061,0.9795640326975477,0.9625167336010709,0.9709655638082376
0.6161616161616162,0.9795640326975477,0.9625167336010709,0.9709655638082376
0.6262626262626263,0.9807956104252401,0.9571619812583668,0.9688346883468835
0.6363636363636365,0.9820689655172414,0.9531459170013387,0.967391304347826
0.6464646464646465,0.9820441988950276,0.9518072289156626,0.9666893269884432
0.6565656565656566,0.9833101529902643,0.9464524765729585,0.9645293315143247
0.6666666666666667,0.9832167832167832,0.9410977242302544,0.9616963064295485
0.6767676767676768,0.9845070422535211,0.9357429718875502,0.9595058339052849
0.686868686868687,0.9900426742532006,0.9317269076305221,0.96
0.696969696969697,0.9942528735632183,0.9263721552878179,0.9591129591129591
0.7070707070707072,0.9956772334293948,0.9250334672021419,0.9590562109646079
0.7171717171717172,0.9971014492753624,0.9210174029451138,0.9575504523312457
0.7272727272727273,0.9970760233918129,0.9129852744310576,0.9531795946890286
0.7373737373737375,0.9985294117647059,0.9089692101740294,0.9516468114926419
0.7474747474747475,0.9985228951255539,0.9049531459170014,0.949438202247191
0.7575757575757577,0.9985096870342772,0.8969210174029452,0.9449929478138223
0.7676767676767677,0.9984939759036144,0.8875502008032129,0.9397590361445783
0.7777777777777778,0.9984802431610942,0.8795180722891566,0.9352313167259787
0.787878787878788,0.9984520123839009,0.8634538152610441,0.9260588657573581
